"Part Type","Designator","Footprint"
".1uF","C14","0603"
".1uF","C26","0603"
".1uF","C50","0603"
".1uF","C17","0603"
".001uF","C41","0603"
".1uF","C48","0603"
".1uF","C7","0603"
".1uF","C4","0603"
".1uF","C51","0603"
".1uF","C8","0603"
".1uF","C2","0603"
".1uF","C5","0603"
".1uF","C18","0603"
".1uF","C22","0603"
".1uF","C13","0603"
".5 pF","C20","0603"
"0.001uF","C16","0603"
"0.18uH","L6","0603"
"0.18uH","L14","0603"
"0.22uF","C15","0603"
"1K","R26","0603"
"1K","R48","0603"
"1K","R37","0603"
"1K","R18","0603"
"1K","R8","0603"
"1N914","D1","SOT23 DIODE"
"1X3 HEADER","J4","1X3 HEADER"
"1uF","C25","CAP A CASE"
"2.2K","R21","0603"
"2.2K","R46","0603"
"2.2 mH","L4","COIL 6.8UH"
"2N3904","Q7","SOT23 TRANS"
"2N3904","Q8","SOT23 TRANS"
"2N3904","Q3","SOT23 TRANS"
"2N3904","Q10","SOT23 TRANS"
"2N3906","Q2","SOT23 TRANS"
"2N3906","Q9","SOT23 TRANS"
"2 pF","C33","0603"
"3.3K","R25","0603"
"3K","R24","0603"
"3 pF","C43","0603"
"4.7K","R40","0603"
"4.7K","R19","0603"
"4.7K","R42","0603"
"4.7K","R14","0603"
"4.7K","R51","0603"
"4.7K","R35","0603"
"4.7K","R22","0603"
"4.7nH","L1","0603"
"4pF","C23","0603"
"5K POT","R6","POT PANA EVN5"
"5K POT","R11","POT PANA EVN5"
"5 PF","C31","0603"
"5 pF","C3","0603"
"5pF","C9","0603"
"6.8K","R23","0603"
"6.8K","R34","0603"
"6.8K","R13","0603"
"6.8 nH","L15","0603"
"6.8 uH","L3","0805"
"6 pF","C46","0603"
"7 PF","C35","0603"
"10","R16","0603"
"10.7 Mhz Filter","Y2","FILTER"
"10.7 Mhz Filter","Y1","FILTER"
"10K","R41","0603"
"10K","R49","0603"
"10K","R12","0603"
"10K","R38","0603"
"10 pF","C30","0603"
"10 pF","C45","0603"
"10uF","C52","CAP A CASE"
"10uF","C12","CAP A CASE"
"10uF","C10","CAP A CASE"
"10uF","C53","CAP A CASE"
"15K","R47","0603"
"15nH","L12","0603"
"18 nH","L2","0603"
"22","R20","0603"
"22","R43","0603"
"22","R33","0603"
"22","R3","0603"
"27 pF","C1","0603"
"33 nH","L9","0603"
"33 pF","C42","0603"
"33 pF","C19","0603"
"33 pF","C11","0603"
"39K","R15","0603"
"39K","R36","0603"
"47 nH","L10","0603"
"47 pF","C29","0603"
"47 pF","C37","0603"
"47 pF","C39","0603"
"47 pF","C40","0603"
"47 pF","C38","0603"
"47 pF","C28","0603"
"56","R1","0603"
"56K","R50","0603"
"68","R39","0603"
"68","R30","0603"
"100K","R31","0603"
"100K","R10","0603"
"100 nH","L11","0603"
"100 nH","L8","0603"
"100 pF","C44","0603"
"100 pF","C27","0603"
"100 pF","C47","0603"
"100 pF","C6","0603"
"100 pF","C32","0603"
"100 pF","C34","0603"
"100 pF","C36","0603"
"100 pF","C21","0603"
"150K","R9","0603"
"180","R29","0603"
"220 K","R17","0603"
"330","R2","0603"
"330 nH","L7","0805"
"433.92_Resonator","Y4","RESONATOR"
"470","R4","0603"
"560","R7","0603"
"560","R27","0603"
"905.8_Resonator","Y3","RESONATOR"
"916.5_MHz Saw Filter","Y5","RESONATOR"
"916.5_Resonator","Y6","RESONATOR"
"AT-113","U6","SO8"
"BAR 65","D3","DIODE SC79"
"BFR193","Q4","SOT23 TRANS"
"BFR193","Q5","SOT23 TRANS"
"BGA2001","U1","SOT343"
"CON10","J3","1X10 HEADER SPECIAL"
"CONN NEARSON NC-K01","J6","CONN NEARSON NC-K01"
"CONN NEARSON NC-K01","J5","CONN NEARSON NC-K01"
"DS1804","U5","SO8 SMALL"
"LMC555","U9","SO8 SMALL"
"LMV821","U8","SOT25"
"LMV821","U4","SOT25"
"Microstrip","L13","MICROSTRIP"
"Microstrip","L5","MICROSTRIP"
"NE85619","Q1","3 PIN ULTRA SUPER MINI MOLD"
"NE85619","Q6","3 PIN ULTRA SUPER MINI MOLD"
"SA636DK","U2","SSOP20"
"TLV1391","U3","SOT25"
"UPG52TA","U7","TO6"
